Pitcher,PitchType,RelSpeed,PlateLocSide,PlateLocHeight,HorzBreak,InducedVertBreak,adj_SpinAxis,SpinRate,RelSide,RelHeight,wFIP,ERA,SOr,BBr
Abby Dunning,Curve Ball,68.93348695,-1.188211521,2.694207222,-4.25325335,-0.216257838,247.5,1546.448286,1.791061767,0.627051342,3.1889462846814216,2.8797468354430382,0.20588235294117646,0.16246498599439776
Abby Dunning,Changeup,48.58406403,-0.604172319,0.9184333,-5.335342778,-1.395002276,232.5,667.8277443,1.718557957,0.674435192,3.1889462846814216,2.8797468354430382,0.20588235294117646,0.16246498599439776
Abby Dunning,Curve Ball,68.7867462,0.742940853,1.7588945,-3.572772996,0.43588311,255,1883.754578,1.858828154,0.372280006,3.1889462846814216,2.8797468354430382,0.20588235294117646,0.16246498599439776
Abby Dunning,Changeup,48.62709632,-0.239848541,1.770794593,-6.775372693,-1.579766819,240,908.7286987,2.215538943,0.761458481,3.1889462846814216,2.8797468354430382,0.20588235294117646,0.16246498599439776
Abby Dunning,Changeup,48.12656531,-1.138263653,4.791719322,-6.443034214,-3.340186434,225,807.1200523,1.999325129,1.000670691,3.1889462846814216,2.8797468354430382,0.20588235294117646,0.16246498599439776
Abby Dunning,Changeup,48.34882047,0.104895665,3.694085241,-7.883134521,-0.068865974,255,808.8914862,2.109778434,1.232954547,3.1889462846814216,2.8797468354430382,0.20588235294117646,0.16246498599439776
Abby Dunning,Cutter,68.44360436,1.220359521,1.99361138,-1.763454783,3.361563004,315,1423.375789,1.72538955,0.4904262,3.1889462846814216,2.8797468354430382,0.20588235294117646,0.16246498599439776
Abby Dunning,Curve Ball,69.82633431,0.526162608,4.3177003,-3.507549663,0.900652649,262.5,1298.302377,1.235132851,0.669451777,3.1889462846814216,2.8797468354430382,0.20588235294117646,0.16246498599439776
Abby Dunning,Cutter,66.71013051,0.493894191,3.218922973,-3.097113464,2.172998256,277.5,1359.289137,1.81027042,0.691546295,3.1889462846814216,2.8797468354430382,0.20588235294117646,0.16246498599439776
Abby Dunning,Curve Ball,70.01983784,-1.103582893,2.853256479,-3.324974251,-0.234061908,240,1468.22267,1.860290051,0.683991136,3.1889462846814216,2.8797468354430382,0.20588235294117646,0.16246498599439776
Abby Dunning,Cutter,69.06152789,0.955925499,4.150354376,-3.149918533,1.961776204,277.5,1359.254482,1.926025457,0.710603103,3.1889462846814216,2.8797468354430382,0.20588235294117646,0.16246498599439776
Abby Dunning,Changeup,49.69425622,-1.195041044,4.96964379,-6.018896209,-3.917285289,225,874.4762707,1.941180636,0.923051681,3.1889462846814216,2.8797468354430382,0.20588235294117646,0.16246498599439776
Abby Dunning,Cutter,68.93138354,0.961502449,2.403039477,-4.369525428,1.30999855,270,1521.301676,2.270065424,0.672167066,3.1889462846814216,2.8797468354430382,0.20588235294117646,0.16246498599439776
Abby Dunning,Cutter,69.29389128,0.427385348,2.943673729,-3.589626841,1.561677289,270,1486.651028,1.93380852,0.770466561,3.1889462846814216,2.8797468354430382,0.20588235294117646,0.16246498599439776
Abby Dunning,Cutter,68.29011083,0.250008251,3.29078057,-3.669060038,3.193845219,285,1535.3681,2.050291017,0.507294044,3.1889462846814216,2.8797468354430382,0.20588235294117646,0.16246498599439776
Abby Dunning,Cutter,67.58605448,0.529241598,3.841530545,-3.070396162,4.198438438,300,1366.329096,1.911958456,0.714619741,3.1889462846814216,2.8797468354430382,0.20588235294117646,0.16246498599439776
Abby Dunning,Cutter,70.59613581,0.33649275,3.732514858,-3.473052897,2.293263581,277.5,1426.213129,2.211920054,0.704190966,3.1889462846814216,2.8797468354430382,0.20588235294117646,0.16246498599439776
Abby Dunning,Cutter,66.49517092,0.871235894,2.426910002,-3.582294111,1.760409032,277.5,1185.532197,1.596682467,0.682936155,3.1889462846814216,2.8797468354430382,0.20588235294117646,0.16246498599439776
Abby Dunning,Cutter,68.51727852,-1.327188313,3.444340295,-4.289670672,1.596359024,262.5,1517.653774,1.613428447,0.808780307,3.1889462846814216,2.8797468354430382,0.20588235294117646,0.16246498599439776
