game,date,time,venue,field_num,team_1,team_2
P27,11/04/23,12:00 PM,Westside Park,1,Rock Gold Manetta (16u),Extreme Elite 16U National (16u)
P18,11/04/23,2:00 PM,Edwards Park,4,Aces Fastpitch (18u),Tennessee Mojo - Fisher (18u)
P20,11/04/23,2:00 PM,Edwards Park,6,Select Fastpitch (18u),Illinois Chill Gold (18u)
P23,11/04/23,2:00 PM,Edwards Park,7,Indiana Magic Gold 24/25 - Gerth (18u),Birmingham Thunderbolts Premier 2025 Kemp (18u)
P21,11/04/23,2:00 PM,Edwards Park,8,Indiana Magic Gold Bennett/Goddard (16u),Athletics Mercado Hovermale 14u (16u)
P31,11/04/23,2:00 PM,Edwards Park,5,Fury Platinum X Hutchins Helton (16u),Starz Gold Bunn (16u)
P26,11/04/23,2:00 PM,Riverbend,4,GA Impact Maher (18u),Starz Bigham 18u (18u)
P28,11/04/23,2:00 PM,Riverbend,2,Sparks Elite Ross/Stewart (18u),Hotshots National ATL (18u)
P23,11/04/23,2:00 PM,Westside Park,4,Fury Platinum X - Hutchins (16u),Beverly Bandits Premier Freeland (16u)
P29,11/04/23,2:00 PM,Westside Park,2,Tampa Mustangs PBell 2026/2027 (16u),OC Batbusters Lara (16u)
P30,11/04/23,2:00 PM,Westside Park,1,GA Impact Taylor (16u),Sparks Premier Harvey (16u)
B4,11/04/23,4:00 PM,Edwards Park,4,Georgia Impact Premier Caymol (18u),Team North Carolina (Hinde) (18u)
B5,11/04/23,4:00 PM,Edwards Park,5,Select Fastpitch (18u),Louisville Lady Sluggers-a Huecker/Murphy (18u)
